"topic" , "label"
 "https://w3id.org/zericatalog/criterion/bibliography" , "Bibliography" ,
 "https://w3id.org/zericatalog/criterion/scholar-attribution" , "Scholar attribution" ,
 "https://w3id.org/zericatalog/criterion/note-on-verso-of-photograph" , "Note on verso of photograph" ,
 "https://w3id.org/zericatalog/criterion/documentation" , "Documentation" ,
 "https://w3id.org/zericatalog/criterion/zeris-archival-classification" , "Zeri's archival classification" ,
 "https://w3id.org/zericatalog/criterion/signature" , "Signature" ,
 "https://w3id.org/zericatalog/criterion/stylistic-analysis" , "Stylistic analysis" ,
 "https://w3id.org/zericatalog/criterion/other-criterion" , "Other criterion" ,
 "https://w3id.org/zericatalog/criterion/auction-attribution" , "Auction attribution" ,
 "https://w3id.org/zericatalog/criterion/market-attribution" , "Market attribution" ,
 "https://w3id.org/zericatalog/criterion/caption-on-photo" , "Caption on photo" ,
 "https://w3id.org/zericatalog/criterion/monogram" , "Monogram" ,
 "https://w3id.org/zericatalog/criterion/sigla" , "Sigla" ,
 "https://w3id.org/zericatalog/criterion/inscription" , "Inscription" ,
 "https://w3id.org/zericatalog/criterion/anonymous-evaluation" , "Anonymous evaluation" ,
 "https://w3id.org/zericatalog/criterion/collection-attribution" , "Collection attribution" ,
